 Container expired_domains-runner-run-fad2e44768da Creating 
 Container expired_domains-runner-run-fad2e44768da Created 
2026-04-10 07:00:02 | INFO     | __main__ | Domain Cleanup — command=run-all  mode=LIVE
2026-04-10 07:00:03 | INFO     | app.services.run_coordinator | === Run 2 started (LIVE) ===
2026-04-10 07:00:03 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/login.php (capture session cookie) for account 'blauwemonsters'
2026-04-10 07:00:03 | INFO     | app.clients.hostingindustries | POST https://domains.hostingindustries.nl/login.php for account 'blauwemonsters'
2026-04-10 07:00:03 | INFO     | app.clients.hostingindustries | Login successful for account 'blauwemonsters'
2026-04-10 07:00:03 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/domains.php for account 'blauwemonsters'
2026-04-10 07:00:07 | INFO     | app.clients.hostingindustries | Parsed 1756 domains from account 'blauwemonsters'
2026-04-10 07:00:07 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/login.php (capture session cookie) for account 'brandnewmedia'
2026-04-10 07:00:07 | INFO     | app.clients.hostingindustries | POST https://domains.hostingindustries.nl/login.php for account 'brandnewmedia'
2026-04-10 07:00:07 | INFO     | app.clients.hostingindustries | Login successful for account 'brandnewmedia'
2026-04-10 07:00:07 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/domains.php for account 'brandnewmedia'
2026-04-10 07:00:08 | INFO     | app.clients.hostingindustries | Parsed 869 domains from account 'brandnewmedia'
2026-04-10 07:00:08 | INFO     | app.clients.hostingindustries | Total domains after merge/dedup: 2625 (from 2625 raw)
2026-04-10 07:00:08 | INFO     | app.services.run_coordinator | Fetched 2625 domains from HostingIndustries
2026-04-10 07:00:08 | INFO     | app.services.run_coordinator | Already processed domains in history: 208
2026-04-10 07:00:08 | INFO     | app.services.run_coordinator | Unusable domains: 207 total, 0 new to process, 207 already processed (skipped)
2026-04-10 07:00:08 | INFO     | app.services.run_coordinator | ── Processing source database: linkstatus_blauwemonsters ──
2026-04-10 07:00:08 | INFO     | app.services.run_coordinator |   Matched unusable in linkstatus_blauwemonsters: 196
2026-04-10 07:00:12 | INFO     | app.services.run_coordinator |   Affected orders in linkstatus_blauwemonsters: 0
2026-04-10 07:00:13 | INFO     | app.services.run_coordinator | ── Processing source database: linkstatus_brandnewmedia ──
2026-04-10 07:00:13 | INFO     | app.services.run_coordinator |   Matched unusable in linkstatus_brandnewmedia: 130
2026-04-10 07:00:17 | INFO     | app.services.run_coordinator |   Affected orders in linkstatus_brandnewmedia: 0
2026-04-10 07:00:19 | INFO     | app.services.email_draft_service | Generated 0 email drafts for 0 admins
2026-04-10 07:00:19 | INFO     | app.services.email_draft_service | Saved 0 drafts to /output/email_drafts/run_2
2026-04-10 07:00:19 | INFO     | app.services.sheets_service | Sheets sync skipped: no webhook URL or no domains
2026-04-10 07:00:19 | INFO     | app.services.run_coordinator | Marked 0 domains as processed
2026-04-10 07:00:19 | INFO     | app.services.report_service | JSON report written to /output/reports/run_2.json
2026-04-10 07:00:19 | INFO     | app.services.run_coordinator | === Run 2 finished successfully ===
 Container expired_domains-runner-run-bafe028ee953 Creating 
 Container expired_domains-runner-run-bafe028ee953 Created 
2026-04-11 07:00:02 | INFO     | __main__ | Domain Cleanup — command=run-all  mode=LIVE
2026-04-11 07:00:02 | INFO     | app.services.run_coordinator | === Run 7 started (LIVE) ===
2026-04-11 07:00:02 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/login.php (capture session cookie) for account 'blauwemonsters'
2026-04-11 07:00:03 | INFO     | app.clients.hostingindustries | POST https://domains.hostingindustries.nl/login.php for account 'blauwemonsters'
2026-04-11 07:00:03 | INFO     | app.clients.hostingindustries | Login successful for account 'blauwemonsters'
2026-04-11 07:00:03 | INFO     | app.clients.hostingindustries | GET https://domains.hostingindustries.nl/domains.php for account 'blauwemonsters'
2026-04-11 07:00:06 | INFO     | app.clients.hostingindustries | Parsed 1756 domains from account 'blauwemonsters'
